measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,1990,21.53499329850754,41.36429383212996,8.499847136967382
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,1990,123.08890511070432,235.41058654294244,48.64742048058503
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,1990,0.0006536638854875,0.0012911964867664,0.0002585934186883
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,1990,0.001075152844311,0.0020874068967117,0.0004321070231869
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,1990,313.3781668318,601.935017751,123.6901482722
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,1990,547.53109323286,1047.16680754062,216.39623242027
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,1991,21.687988100456064,41.59125271426211,8.560148093435496
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,1991,126.15954060081371,241.9842085326564,49.93888254896774
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,1991,0.0006469877458017,0.0012793636055994,0.0002572940214194
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,1991,0.0010571936170466,0.0020564058947134,0.0004256044927864
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,1991,308.26560929238,591.16377230611,121.67100311164
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,1991,536.58238884993,1029.20844559238,212.40030493934998
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,1992,22.49972927860505,43.11347085553213,8.87353594130633
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,1992,131.87611506167033,253.60218204542772,52.26207334495609
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,1992,0.0006400741763402,0.0012668398324851,0.0002558238472954
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,1992,0.0010424101719353,0.0020313211217126,0.0004198879964195
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,1992,303.44697772791,581.45821527336,119.67466940633999
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,1992,527.80513804908,1014.9869416568799,209.16745101011003
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,1993,23.62401998295843,45.31210864749645,9.313686308589292
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,1993,139.68564409575387,269.2553443417492,55.38611596202959
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Percent,1993,0.0006329827059521,0.0012527287589733,0.0002542504889325
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Percent,1993,0.0010309970541557,0.0020123104601413,0.000414840462513
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Rate,1993,299.05416591804004,573.60156600526,117.9010470126
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Rate,1993,521.34949551271,1004.94319831783,206.7179043497
Incidence,Italy,Male,95+ years,Atrial fibrillation and flutter,Number,1994,24.98168059378131,47.6948988214044,9.848934031433384
Incidence,Italy,Female,95+ years,Atrial fibrillation and flutter,Number,1994,149.66135313923667,288.11714957558496,59.39173620643101
