year,age,sex,af_incd_clbr_fctr,af_ftlt_clbr_fctr,nonmodelled_ftlt_clbr_fctr
2003,40,men,1,1,1
2003,40,women,1,1,1
2003,41,men,1,1,1
2003,41,women,1,1,1
2003,42,men,1,1,1
2003,42,women,1,1,1
2003,43,men,1,1,1
2003,43,women,1,1,1
2003,44,men,1,1,1
2003,44,women,1,1,1
2003,45,men,1,1,1
2003,45,women,1,1,1
2003,46,men,1,1,1
2003,46,women,1,1,1
2003,47,men,1,1,1
2003,47,women,1,1,1
2003,48,men,1,1,1
2003,48,women,1,1,1
2003,49,men,1,1,1
2003,49,women,1,1,1
2003,50,men,1,1,1
2003,50,women,1,1,1
2003,51,men,1,1,1
2003,51,women,1,1,1
2003,52,men,1,1,1
2003,52,women,1,1,1
2003,53,men,1,1,1
2003,53,women,1,1,1
2003,54,men,1,1,1
2003,54,women,1,1,1
2003,55,men,1,1,1
2003,55,women,1,1,1
2003,56,men,1,1,1
2003,56,women,1,1,1
2003,57,men,1,1,1
2003,57,women,1,1,1
2003,58,men,1,1,1
2003,58,women,1,1,1
2003,59,men,1,1,1
2003,59,women,1,1,1
2003,60,men,1,1,1
2003,60,women,1,1,1
2003,61,men,1,1,1
2003,61,women,1,1,1
2003,62,men,1,1,1
2003,62,women,1,1,1
2003,63,men,1,1,1
2003,63,women,1,1,1
2003,64,men,1,1,1
2003,64,women,1,1,1
2003,65,men,1,1,1
2003,65,women,1,1,1
2003,66,men,1,1,1
2003,66,women,1,1,1
2003,67,men,1,1,1
2003,67,women,1,1,1
2003,68,men,1,1,1
2003,68,women,1,1,1
2003,69,men,1,1,1
2003,69,women,1,1,1
2003,70,men,1,1,1
2003,70,women,1,1,1
2003,71,men,1,1,1
2003,71,women,1,1,1
2003,72,men,1,1,1
2003,72,women,1,1,1
2003,73,men,1,1,1
2003,73,women,1,1,1
2003,74,men,1,1,1
2003,74,women,1,1,1
2003,75,men,1,1,1
2003,75,women,1,1,1
2003,76,men,1,1,1
2003,76,women,1,1,1
2003,77,men,1,1,1
2003,77,women,1,1,1
2003,78,men,1,1,1
2003,78,women,1,1,1
2003,79,men,1,1,1
2003,79,women,1,1,1
2003,80,men,1,1,1
2003,80,women,1,1,1
2003,81,men,1,1,1
2003,81,women,1,1,1
2003,82,men,1,1,1
2003,82,women,1,1,1
2003,83,men,1,1,1
2003,83,women,1,1,1
2003,84,men,1,1,1
2003,84,women,1,1,1
2003,85,men,1,1,1
2003,85,women,1,1,1
2003,86,men,1,1,1
2003,86,women,1,1,1
2003,87,men,1,1,1
2003,87,women,1,1,1
2003,88,men,1,1,1
2003,88,women,1,1,1
2003,89,men,1,1,1
2003,89,women,1,1,1
2003,90,men,1,1,1
2003,90,women,1,1,1
2003,91,men,1,1,1
2003,91,women,1,1,1
2003,92,men,1,1,1
2003,92,women,1,1,1
2003,93,men,1,1,1
2003,93,women,1,1,1
2003,94,men,1,1,1
2003,94,women,1,1,1
2003,95,men,1,1,1
2003,95,women,1,1,1
2003,96,men,1,1,1
2003,96,women,1,1,1
2003,97,men,1,1,1
2003,97,women,1,1,1
2003,98,men,1,1,1
2003,98,women,1,1,1
2003,99,men,1,1,1
2003,99,women,1,1,1
2004,40,men,1,1,1
2004,40,women,1,1,1
2004,41,men,1,1,1
2004,41,women,1,1,1
2004,42,men,1,1,1
2004,42,women,1,1,1
2004,43,men,1,1,1
2004,43,women,1,1,1
2004,44,men,1,1,1
2004,44,women,1,1,1
2004,45,men,1,1,1
2004,45,women,1,1,1
2004,46,men,1,1,1
2004,46,women,1,1,1
2004,47,men,1,1,1
2004,47,women,1,1,1
2004,48,men,1,1,1
2004,48,women,1,1,1
2004,49,men,1,1,1
2004,49,women,1,1,1
2004,50,men,1,1,1
2004,50,women,1,1,1
2004,51,men,1,1,1
2004,51,women,1,1,1
2004,52,men,1,1,1
2004,52,women,1,1,1
2004,53,men,1,1,1
2004,53,women,1,1,1
2004,54,men,1,1,1
2004,54,women,1,1,1
2004,55,men,1,1,1
2004,55,women,1,1,1
2004,56,men,1,1,1
2004,56,women,1,1,1
2004,57,men,1,1,1
2004,57,women,1,1,1
2004,58,men,1,1,1
2004,58,women,1,1,1
2004,59,men,1,1,1
2004,59,women,1,1,1
2004,60,men,1,1,1
2004,60,women,1,1,1
2004,61,men,1,1,1
2004,61,women,1,1,1
2004,62,men,1,1,1
2004,62,women,1,1,1
2004,63,men,1,1,1
2004,63,women,1,1,1
2004,64,men,1,1,1
2004,64,women,1,1,1
2004,65,men,1,1,1
